text,predicted_label
"What a game, ini game terbaik dari Joy Kreatif menurutku! W JoyKreatif jgn lupa subscribe channelnya: https://www.youtube.com/@joykeratif
Yuk Join Discord paling rame se-Indonesia buat cari temen!: https://discord.com/invite/motionime
Join Server GTA Roleplayku: https://discord.gg/aAGsh62H",1
mantap bg,0
"Itu ending 6 bukan berandai-andai tapi itu -1 atau hari sebelum kejadian beni ditawarin judi di masa masa mereka masih bahagia
Masa H-1 aja gak ngerti",0
Jangan sok tau culun😂 ​ @astra1071 ,0
​ @astra1071 he pikmi banget loh,0
😊,1
BUKAN KREATIF BANG TAPI KERATIF WKWK,0
god joob bang windah,1
Please di suport trs bang joy,0
Bang itu uang jajan lu pas masih kecil itu masih banyak bapak gua 500 perak,0
joy keratif bang😂,0
thank you bang 😢😢,0
Sebelum ramai,0
GO NADIAA GOOO UR ATEEE,0
No risk no Perrari,0
Makasih bang udah kasih muka merah mu itu❤,0
😅😅😅😅😅,1
0:10,1
Bang mau tas sayap ff bang belum punya soalnya 😢😢😢,0
Sungguh mendalami peran karakter kamu bang aku suka😊😊,0
Joss,1
Iya,0
GG,1
Geme mu bagus banget bg gg🥳🥳🎉🎉,0
Miawaug udah main,0
"Di dunia nyata ada bang, dan ada juga video aslinya",0
"gg bg, banyakin lg buat game yg seru seruuu",1
mendalami geme,0
👏👏,1
GEGEEE,1
Bang main robloxxx,0
Bg -1 hari itu sebelum beni judi bg,1
Takut,0
Spp kaila,0
Gue sampe nangis😭😭😭😭😭😭,0
Keren gua dapat pelajaran dari ini 😮,0
Main game yg tentang pemerintahan korup,0
Oh ah,0
bang windah lucu banget saat bilang nyenyenyenye🤣🤣🤣🤣🤣🤣,0
❤❤❤❤❤❤❤❤❤❤,1
halo bang.,0
"Bang santai bang karena bang
Windah  mirip pak beni pas marah²😂😂😂",0
N,0
p,1
Bang lu belum namatin mortal kombat 1 dlc yang khaos reigns,1
Setuju karyanya Joy Kreatif bagus bagus gamenya,0
Epic game GG top trending,1
bang mainin fc mobile karena ada pemain indonesia pertama ovr 106,1
bang windah granny 4 sudah rilis bang namanya granny 4 the rebellion😀😀dan granny 4 mortuary madness,1
JoyKeratif bkn JoyKreatif,0
1,0
Real,0
Keratif bang😂😂,0
Bang aku nnton tp umur ku msih dibawah gpp kn?,0
Keren bang gamenya 🙏🏻,0
Bapak ku pernah kayak gitu tapi ibuku bisa menuntunnya ke jalan yang benar dan belajar beribadah kepada Tuhan🫡,0
w GAME BANG WINDAH,1
Bang boleh gak main super sus lagi gara gara udah di upgred heheheh,0
gw suka banget sama ending terakhir nya,0
maafbang telatngga,0
😢😢😢😢😢😢😢😢,1
GG BANG,0
Keren bang 3jt penonton 👏🏼👏🏼👏🏼,0
W PIKABUU !!!!!,1
W game,1
gg🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,1
"Bang izin bertanya, ini game nya ada cerita asli nya gak,dari segi game nya itu kayak ada dibalik cerita asli nya. Terimakasih🙏🏻",0
Aku sampe sedih banget 😢,0
Ada satu situs yang aku iseng cari di google ga kan gw spil,1
bang ini kalo dibuat film bagus banget sumpahh. nangis pasti gua,0
best gane🎉,1
Hi,0
Bang kok lu gak main blox fruits lagi😢,0
BANGG GAME NYA BAGUS BANGETTT,1
l,1
GG bg,1
5:44 100 perak,0
Mantap,0
W Game,1
Bang windah masih live?,0
L Windah,0
Makasih jga udh buat,0
Toxic lu bang 😂😂😂,0
halo bangg;,0
Bro sudah membuat kesalahan terbesarnya,0
Ini beneran luu bang😮😮😮,0
"Bang windah parah banget tu kepalanya pak beni tu kena langgar kereta Api 😱, tapi gak papa semangat bikin konten nya ya",0
Alesha,1
Kabur bang,0
Hihihihiii 😁 😆 😅 😂 🤣 😛 😜 🤪 😝 🤑 🤭 🫢 🫣 🤫 🫡 🥳 🥳 🥳,1
Bang kalau gijal gakada semua organ mati total,0
Kenapa dikasih tahu judinya,0
"GG, bang😊😊😊🔥🔥🔥🔥🔥🔥🔥",1
Bang coba main roblox,1
18:13 😅😅,0
bang dulu kakak ku sangu nya seribu,0
aku udah subscribe Joy kreatif,0
benersih ditusuk kalo gak ditusuk nanti bisa aja si tedy caper,1
Cara ngalahin kekurangan dari grafiknya yaitu cerita dari game yang penuh makna dan mempermainkan emosi para gamers. Jadi yang buat game ini memanfaatkan kekurangan dengan menciptakan sesuatu yang membuat orang tidak memandang kekurangan dalam game tersebut🎉,1
Rill bang. Rewatch kesekian kalinya karena bagus bangett,0
Bang nantinya kecan duanlo,0
W windah basudara,0
Bang game itu bayar bukan,1
Jahat banget,0
Rindu winda,0
Bang itu adaga di plaistor ga 😅😊❤,0
gkkkk,1
Gg bang,0
W GAME,1
keratif bang😢,0
W Game,1
​@Hehedestolong kasih tau dong gimana cara download game ini,0
KAMU RAJA PMO YA BANG KOK PELUPA,0
"​ @xzrivaldo  faktor usia jg bisa,aplgi kurang istirahat",0
Main metel bg,0
Gak Pernah Gagal,0
lanjutin peak bang tamatin,0
